Date,ADSW3 BGN Curncy,ADSW2 BGN Curncy,ADSW10 BGN Curncy,ADSW5 BGN Curncy,ADSW20 BGN Curncy,ADSW1 BGN Curncy,ADSW15 BGN Curncy,ADSW30 BGN Curncy
2004-05-31,5.85,5.74,6.2815,6.025,6.33,5.62,6.3415,6.2825
2004-06-30,5.845,5.745,6.183,5.985,6.2175,5.625,6.243,6.1825
2004-07-30,5.94,5.82,6.188,6.035,6.2075,5.685,6.243,6.1875
2004-08-31,5.76,5.65,5.935,5.798,5.9375,5.56,5.979,5.9025
2004-09-30,5.67,5.595,5.918,5.78,5.9175,5.52,5.953,5.8775
2004-10-29,5.6,5.57,5.81,5.683,5.7775,5.51,5.848,5.7375
2004-11-30,5.38,5.355,5.66,5.48,5.673,5.346,5.6935,5.79
2004-12-31,5.605,5.515,5.825,5.7,5.815,5.455,5.86,5.79
2005-01-31,5.725,5.7,5.8425,5.765,5.855,5.65,5.869,5.835
2005-02-28,6.0665,5.9975,6.11,6.025,6.1125,5.9635,6.13,6.1025
2005-03-31,6.08,6.06,6.075,6.03,6.0875,6.04,6.1075,6.0675
2005-04-29,5.72,5.7,5.8725,5.8,5.8775,5.73,5.904,5.8375
2005-05-31,5.63,5.63,5.6225,5.56375,5.6175,5.67,5.6425,5.5875
2005-06-30,5.57,5.57,5.55,5.528,5.55,5.63,5.5225,5.515
2005-07-29,5.57,5.57,5.6715,5.63,5.6675,5.575,5.6965,5.6175
2005-08-31,5.47,5.46,5.433,5.405,5.4325,5.48,5.448,5.3575
2005-09-30,5.79,5.765,5.86,5.82,5.835,5.725,5.875,5.715
2005-10-31,5.825,5.795,5.9325,5.855,5.9,5.73,5.95,5.75
2005-11-30,5.79,5.715,5.88,5.835,5.835,5.665,5.8915,5.675
2005-12-30,5.685,5.7,5.708,5.695,5.65,5.675,5.713,5.515
2006-01-31,5.725,5.68,5.8065,5.7515,5.755,5.645,5.817,5.595
2006-02-28,5.695,5.67,5.7185,5.68,5.64,5.645,5.717,5.43
2006-03-31,5.785,5.765,5.847,5.81,5.7705,5.7,5.837,5.655
2006-04-28,6.1005,6.0575,6.15,6.135,6.08,5.9765,6.143,5.965
2006-05-31,6.1695,6.1375,6.2188,6.2125,6.145,6.0815,6.21,5.99
2006-06-30,6.243,6.2335,6.22,6.2369,6.085,6.1765,6.175,5.965
2006-07-31,6.4235,6.4245,6.3125,6.3938,6.1525,6.3835,6.2475,5.9925
2006-08-31,6.2735,6.2955,6.1363,6.22,5.9975,6.3155,6.0725,5.828
2006-09-29,6.2025,6.224,6.03,6.165,5.85,6.2595,5.963,5.688
2006-10-31,6.446,6.4895,6.1325,6.334,5.945,6.5365,6.055,5.7725
2006-11-30,6.38,6.4325,6.0665,6.27,5.853,6.4905,6.004,5.7025
2006-12-29,6.5575,6.5745,6.39,6.498,6.1905,6.5965,6.3155,6.0255
2007-01-31,6.535,6.5225,6.3865,6.473,6.213,6.5175,6.3205,6.053
2007-02-28,6.4095,6.4295,6.2115,6.3565,6.0575,6.452,6.15375,5.913
2007-03-30,6.6265,6.6375,6.405,6.555,6.255,6.6585,6.335,6.085
2007-04-30,6.535,6.5385,6.369,6.489,6.197,6.547,6.314,6.045
2007-05-31,6.685,6.6895,6.5575,6.6815,6.4375,6.6375,6.505,6.3075
2007-06-29,6.974,6.937,6.8165,6.9355,6.735,6.8515,6.7825,6.63
2007-07-31,6.9915,7.009,6.718,6.918,6.568,6.931,6.6475,6.5075
2007-08-31,6.8885,6.8795,6.635,6.8265,6.463,6.8865,6.555,6.325
2007-09-28,7.0205,7.0155,6.828,6.9755,6.638,7.0275,6.725,6.52
2007-10-31,7.3515,7.3455,6.9955,7.2715,6.7125,7.2985,6.8465,6.5925
2007-11-30,7.49,7.484,6.914,7.324,6.6075,7.44,6.7155,6.4175
2007-12-31,7.5905,7.5505,7.245,7.56,6.955,7.4815,7.095,6.73
2008-01-31,7.392,7.392,6.968,7.3055,6.6725,7.4145,6.8015,6.4065
2008-02-29,7.77,7.8665,7.2815,7.61,6.8525,7.984,7.0725,6.5325
2008-03-31,7.336,7.4495,7.079,7.28,6.6675,7.676,6.9265,6.3575
2008-04-30,7.55625,7.6525,7.214,7.464,6.8425,7.79625,7.0555,6.3625
2008-05-30,7.67875,7.80125,7.3325,7.6,7.0475,7.8975,7.1975,6.6325
2008-06-30,7.84875,7.94125,7.435,7.738,7.1325,7.97375,7.275,6.7675
2008-07-31,7.28,7.356,7.0615,7.0915,6.8175,7.4705,6.9665,6.4375
2008-08-29,6.757,6.8,6.615,6.738,6.3875,6.95,6.545,5.995
2008-09-30,6.375,6.385,6.392,6.432,6.07,6.409,6.273,5.645
2008-10-31,5.4375,5.205,5.8875,5.76,5.3725,4.81,5.7525,4.88625
2008-11-28,4.3725,3.9525,5.05,4.7475,4.5175,3.606,4.915,3.8925
2008-12-31,3.85,3.5125,4.333,4.25,3.765,3.248,4.182,3.0475
2009-01-30,3.3975,3.055,4.3875,3.8475,3.9255,2.664,4.3125,3.4055
2009-02-27,3.7725,3.3025,4.9325,4.2925,4.7755,2.927,4.9625,4.3655
2009-03-31,3.91,3.4525,5.03,4.505,5.0075,2.914,5.155,4.6575
2009-04-30,3.9075,3.3875,5.137,4.535,5.07625,2.9065,5.222,4.745
2009-05-29,4.23,3.59,5.6775,4.95,5.695,3.094,5.7975,5.4225
2009-06-30,4.815,4.14,5.985,5.54,6.0275,3.439,6.1275,5.7725
2009-07-31,5.04,4.415,6.01,5.64,6.025,3.679,6.12,5.723
2009-08-31,5.36,4.95,5.995,5.82,5.9525,4.284,6.00975,5.655
2009-09-30,5.436,5.011,6.017,5.83,5.965,4.3095,6.03838,5.69912
2009-10-30,5.639,5.305,6.165,5.8375,6.0125,4.7105,6.15875,5.885
2009-11-30,5.2745,4.9555,5.9025,5.7375,5.9005,4.5325,5.925,5.594
2009-12-31,5.406,5.143,6.2525,5.845,6.2725,4.7415,6.293,5.9275
2010-01-29,5.249,5.031,6.0025,5.565,6.0225,4.7015,6.0625,5.6975
2010-02-26,5.1905,4.955,5.9925,5.5875,6.0325,4.622,6.075,5.8275
2010-03-31,5.543,5.356,6.153,5.863,6.194,4.95,6.24,5.9175
2010-04-30,5.5735,5.381,6.1175,5.885,6.1525,5.069,6.205,5.8525
2010-05-31,5.173,5.0465,5.8475,5.48,5.785,4.8505,5.9375,5.455
2010-06-30,4.969,4.908,5.57625,5.235,5.58625,4.8575,5.67,5.28
2010-07-30,4.996,4.928,5.5975,5.245,5.6375,4.8645,5.691,5.3825
2010-08-31,4.707,4.667,5.2,4.9545,5.24,4.66,5.28625,4.96438
2010-09-30,5.252,5.201,5.535,5.45,5.56,5.1185,5.59,5.28388
2010-10-29,5.2855,5.1095,5.68,5.5025,5.685,5.03,5.7475,5.4
2010-11-30,5.38,5.243,5.9575,5.7245,5.92875,5.2,6.01875,5.688
2010-12-31,5.5365,5.337,6.0625,5.865,6.0825,5.173,6.1525,5.8125
