Date,CDSW30 BGN Curncy,CDSW5 BGN Curncy,CDSW2 BGN Curncy,CDSW3 BGN Curncy,CDSW20 BGN Curncy,CDSW15 BGN Curncy,CDSW10 BGN Curncy,CDSW1 BGN Curncy
2004-05-31,5.73,4.32,3.17,3.66,5.69,5.506,5.12,2.55
2004-06-30,5.805,4.48,3.3775,3.87,5.7275,5.5625,5.2175,2.725
2004-07-30,5.746,4.425,3.356,3.811,5.658,5.477,5.156,2.72
2004-08-31,5.54,4.15,3.1275,3.54,5.4275,5.2495,4.9125,2.725
2004-09-30,5.5575,4.2425,3.345,3.6925,5.4525,5.27,4.94,2.96
2004-10-29,5.416,4.1225,3.341,3.676,5.341,5.1475,4.804,3.01
2004-11-30,5.425,3.945,3.0875,3.415,5.349,5.146,4.7655,2.785
2004-12-31,5.266,3.905,3.15,3.445,5.211,5.019,4.631,2.76
2005-01-31,5.14,3.8,3.0575,3.3475,5.0775,4.895,4.525,2.77
2005-02-28,5.1865,3.86,3.1345,3.3915,5.141,4.961,4.585,2.87
2005-03-31,5.1449,4.01,3.38,3.6225,5.1037,4.9486,4.6185,3.09
2005-04-29,5.0475,3.805,3.195,3.43,4.9594,4.7975,4.4625,2.895
2005-05-31,4.821,3.5845,3.04,3.24,4.719,4.543,4.2225,2.825
2005-06-30,4.652,3.4,2.954,3.105,4.545,4.353,4.023,2.83
2005-07-29,4.72,3.62,3.22,3.35,4.647,4.48,4.15,3.0705
2005-08-31,4.5565,3.5,3.16,3.26,4.4805,4.2995,3.9935,3.025
2005-09-30,4.65,3.795,3.51,3.61,4.619,4.46,4.18,3.41
2005-10-31,4.8008,4.08,3.8085,3.9065,4.7935,4.668,4.41,3.655
2005-11-30,4.673,4.1235,3.9688,4.0302,4.6651,4.5733,4.352,3.9
2005-12-30,4.574,4.1775,4.1095,4.141,4.579,4.501,4.3285,4.08
2006-01-31,4.807,4.3211,4.098,4.1782,4.802,4.735,4.557,4.05
2006-02-28,4.729,4.3652,4.2175,4.2675,4.732,4.6635,4.514,4.19
2006-03-31,4.841,4.447,4.3065,4.359,4.853,4.783,4.64,4.28
2006-04-28,5.092,4.6475,4.4295,4.515,5.0923,5.022,4.861,4.37
2006-05-31,5.096,4.676,4.502,4.559,5.106,5.057,4.911,4.455
2006-06-30,5.24,4.8725,4.717,4.767,5.258,5.218,5.077,4.725
2006-07-31,5.005,4.5607,4.4096,4.4565,5.0082,4.9557,4.7893,4.46
2006-08-31,4.7799,4.3028,4.241,4.2393,4.7859,4.7008,4.5266,4.32
2006-09-29,4.6653,4.195,4.122,4.119,4.6861,4.617,4.4231,4.245
2006-10-31,4.65,4.228,4.174,4.175,4.671,4.598,4.425,4.28
2006-11-30,4.51,4.0653,4.0422,4.029,4.538,4.458,4.269,4.18
2006-12-29,4.67,4.24,4.16,4.19,4.689,4.628,4.47,4.315
2007-01-31,4.753,4.3674,4.3135,4.3105,4.776,4.729,4.5759,4.4
2007-02-28,4.663,4.247,4.2106,4.2034,4.675,4.619,4.4615,4.32
2007-03-30,4.766,4.311,4.262,4.259,4.776,4.714,4.539,4.36
2007-04-30,4.7655,4.4435,4.424,4.425,4.793,4.744,4.603,4.478
2007-05-31,4.957,4.9078,4.8371,4.8751,5.035,5.023,4.951,4.815
2007-06-29,5.1735,4.984,4.891,4.9375,5.212,5.211,5.135,4.88
2007-07-31,5.269,5.071,4.9415,5.002,5.3085,5.3015,5.21,4.9385
2007-08-31,5.146,4.89,4.834,4.874,5.149,5.106,4.974,4.813
2007-09-28,5.079,4.671,4.552,4.617,5.055,4.979,4.82,4.6
2007-10-31,4.984,4.712,4.585,4.65,5.0175,4.9745,4.851,4.586
2007-11-30,4.9115,4.406,4.175,4.2795,4.928,4.83,4.6325,4.2835
2007-12-31,4.72,4.437,4.177,4.2855,4.779,4.736,4.608,4.252
2008-01-31,4.788,4.045,3.59,3.7785,4.787,4.6975,4.4605,3.534
2008-02-29,4.7335,3.8355,3.365,3.559,4.7165,4.603,4.3285,3.315
2008-03-31,4.611,3.6385,3.2115,3.404,4.6045,4.4785,4.142,3.087
2008-04-30,4.601,3.64,3.246,3.4015,4.5995,4.475,4.14,3.055
2008-05-30,4.631,3.9055,3.402,3.639,4.674,4.5685,4.3105,3.057
2008-06-30,4.46,3.991,3.671,3.8235,4.55,4.459,4.266,3.424
2008-07-31,4.514,3.7055,3.287,3.472,4.527,4.422,4.163,3.141
2008-08-29,4.457,3.4755,3.033,3.2165,4.455,4.334,4.0065,2.9625
2008-09-30,4.709,3.619,3.2,3.3535,4.737,4.5955,4.203,3.209
2008-10-31,4.474,2.922,2.2468,2.521,4.589,4.45,3.881,2.146
2008-11-28,3.498,2.31,1.7115,1.947,3.552,3.3945,2.963,1.555
2008-12-31,3.318,1.621,1.075,1.322,3.372,3.169,2.477,0.956
