Date,DKSW10 BGN Curncy,DKSW1 BGN Curncy,DKSW30 BGN Curncy,DKSW2 BGN Curncy,DKSW3 BGN Curncy,DKSW20 BGN Curncy,DKSW15 BGN Curncy,DKSW5 BGN Curncy
2004-05-31,4.71,2.5,5.355,2.975,3.37,5.24,5.06,3.9475
2004-06-30,4.635,2.54,5.195,3.005,3.3825,5.105,4.945,3.9225
2004-07-30,4.53,2.4975,5.11,2.925,3.28,5.025,4.865,3.8125
2004-08-31,4.34,2.41,4.985,2.74,3.065,4.875,4.695,3.585
2004-09-30,4.2975,2.5025,4.9225,2.8225,3.105,4.8075,4.6375,3.5825
2004-10-29,4.1575,2.425,4.8375,2.685,2.96,4.7125,4.5225,3.4275
2004-11-30,3.9975,2.395,4.6475,2.61,2.85,4.5275,4.3375,3.2825
2004-12-31,3.895,2.4575,4.545,2.7125,2.93,4.425,4.245,3.28
2005-01-31,3.7125,2.3775,4.2625,2.61,2.82,4.1575,4.0025,3.1525
2005-02-28,3.86,2.4075,4.3625,2.7025,2.935,4.27,4.1325,3.29
2005-03-31,3.805,2.3875,4.3375,2.6675,2.885,4.24,4.0975,3.215
2005-04-29,3.58,2.2575,4.165,2.4325,2.625,4.05,3.885,2.9625
2005-05-31,3.4175,2.205,4.0025,2.325,2.5015,3.8975,3.7275,2.8225
2005-06-30,3.2313,2.0975,3.8075,2.18,2.34,3.7075,3.5475,2.6425
2005-07-29,3.38,2.2425,3.94,2.415,2.565,3.8375,3.68,2.835
2005-08-31,3.232,2.264,3.779,2.383,2.506,3.676,3.524,2.732
2005-09-30,3.2875,2.3825,3.8375,2.5575,2.68,3.7375,3.5825,2.8725
2005-10-31,3.5525,2.6225,4.055,2.8325,2.9675,3.9575,3.8175,3.17
2005-11-30,3.6355,2.86,4.05,3.0075,3.1175,3.985,3.8725,3.295
2005-12-30,3.53,2.9225,3.87,3.0875,3.1725,3.825,3.725,3.285
2006-01-31,3.7175,2.97,4.069,3.1813,3.2895,4.018,3.914,3.447
2006-02-28,3.806,3.21,4.114,3.388,3.47,4.068,3.977,3.583
2006-03-31,4.14,3.445,4.42,3.6925,3.8025,4.375,4.29,3.925
2006-04-28,4.3015,3.451,4.6175,3.7205,3.8623,4.565,4.4725,4.031
2006-05-31,4.3355,3.4813,4.6725,3.7395,3.8745,4.6225,4.5225,4.0385
2006-06-30,4.4325,3.6775,4.7175,3.9175,4.04,4.68,4.6,4.1875
2006-07-31,4.3075,3.7075,4.6025,3.865,3.9525,4.5675,4.475,4.0675
2006-08-31,4.1525,3.805,4.435,3.885,3.91,4.39,4.3075,3.965
2006-09-29,4.098,3.9168,4.3075,3.9565,3.962,4.2875,4.2225,3.9835
2006-10-31,4.0825,4.0375,4.2125,4.0325,4.015,4.2125,4.1725,4.005
2006-11-30,4.05,4.0675,4.17,4.0325,4.005,4.1775,4.135,3.995
2006-12-29,4.33,4.2525,4.4325,4.285,4.2775,4.4575,4.4125,4.27
2007-01-31,4.4575,4.32,4.5525,4.3825,4.38,4.57,4.5375,4.385
