Date,EUSA3 BGN Curncy,EUSA2 BGN Curncy,EUSA30 BGN Curncy,EUSA5 BGN Curncy,EUSA15 BGN Curncy,EUSA20 BGN Curncy,EUSA1 BGN Curncy,EUSA10 BGN Curncy
2004-05-31,3.1955,2.829,5.117,3.751,4.818,5.0055,2.3805,4.4855
2004-06-30,3.223,2.871,4.991,3.733,4.729,4.895,2.422,4.423
2004-07-30,3.1415,2.8045,4.8975,3.6375,4.6335,4.7975,2.392,4.3255
2004-08-31,2.935,2.624,4.759,3.41,4.471,4.648,2.291,4.142
2004-09-30,2.985,2.7075,4.7225,3.423,4.4205,4.6035,2.393,4.106
2004-10-29,2.834,2.5765,4.6378,3.2825,4.3225,4.511,2.329,3.984
2004-11-30,2.7675,2.521,4.4905,3.169,4.187,4.3675,2.3088,3.8615
2004-12-31,2.826,2.617,4.359,3.158,4.055,4.237,2.373,3.754
2005-01-31,2.7505,2.5525,4.131,3.064,3.889,4.046,2.3153,3.6185
2005-02-28,2.8903,2.6578,4.291,3.2455,4.068,4.202,2.3713,3.8057
2005-03-31,2.8356,2.6305,4.222,3.1472,3.989,4.1275,2.3708,3.713
2005-04-29,2.589,2.397,4.099,2.922,3.831,3.988,2.219,3.528
2005-05-31,2.46,2.295,3.99,2.775,3.7,3.875,2.1588,3.3815
2005-06-30,2.3201,2.162,3.8101,2.6251,3.533,3.7051,2.0845,3.2201
2005-07-29,2.556,2.4046,3.885,2.8075,3.636,3.789,2.243,3.3465
2005-08-31,2.471,2.342,3.717,2.6935,3.481,3.6275,2.2223,3.1985
2005-09-30,2.65,2.525,3.739,2.8405,3.525,3.662,2.3496,3.265
2005-10-31,2.923,2.7974,3.93,3.127,3.736,3.852,2.5946,3.51
2005-11-30,3.0434,2.9525,3.9515,3.2187,3.7748,3.8845,2.8089,3.5563
2005-12-30,3.1175,3.0275,3.775,3.215,3.633,3.73,2.8752,3.448
2006-01-31,3.2595,3.1446,3.96,3.3936,3.8141,3.9125,2.9391,3.6455
2006-02-28,3.3166,3.2193,3.952,3.4414,3.8208,3.909,3.0265,3.6643
2006-03-31,3.6385,3.5255,4.25,3.7706,4.138,4.213,3.3008,3.9894
2006-04-28,3.7354,3.5932,4.4325,3.9045,4.3204,4.397,3.3254,4.1673
2006-05-31,3.7421,3.6189,4.5285,3.9042,4.375,4.4785,3.3941,4.1908
2006-06-30,3.9012,3.7832,4.5585,4.045,4.4408,4.5235,3.5531,4.2849
2006-07-31,3.8082,3.725,4.451,3.9252,4.325,4.412,3.5769,4.162
2006-08-31,3.745,3.732,4.2605,3.8019,4.1485,4.2255,3.672,3.9995
2006-09-29,3.8015,3.8005,4.1335,3.828,4.068,4.124,3.776,3.954
2006-10-31,3.8692,3.885,4.0604,3.8692,4.0354,4.0694,3.884,3.9564
2006-11-30,3.8448,3.865,4.0345,3.8386,3.9995,4.0445,3.891,3.9115
2006-12-29,4.1265,4.122,4.2876,4.125,4.2736,4.3096,4.076,4.1986
2007-01-31,4.22,4.2005,4.44,4.23,4.4278,4.455,4.151,4.33
2007-02-28,4.095,4.1155,4.32,4.11,4.2771,4.33,4.1165,4.19
2007-03-30,4.2251,4.243,4.4713,4.2351,4.4305,4.4801,4.249,4.3251
2007-04-30,4.332,4.343,4.5195,4.324,4.4895,4.5305,4.345,4.3995
2007-05-31,4.6335,4.6285,4.7535,4.6305,4.7495,4.7775,4.539,4.6755
2007-06-29,4.7365,4.6995,4.949,4.7675,4.9345,4.967,4.602,4.85
2007-07-31,4.623,4.61,4.785,4.6305,4.7745,4.8085,4.601,4.7025
2007-08-31,4.543,4.564,4.798,4.543,4.765,4.808,4.7,4.64
2007-09-28,4.5255,4.5445,4.871,4.546,4.8355,4.881,4.694,4.703
2007-10-31,4.5385,4.5685,4.811,4.565,4.7805,4.8285,4.6585,4.6655
2007-11-30,4.4125,4.4415,4.8585,4.424,4.7585,4.8515,4.6505,4.6105
2007-12-31,4.502,4.556,4.8875,4.555,4.859,4.908,4.696,4.721
2008-01-31,3.9565,3.9585,4.684,4.059,4.5805,4.668,4.1925,4.369
2008-02-29,3.7905,3.807,4.627,3.9175,4.522,4.6215,4.139,4.3025
2008-03-31,4.173,4.248,4.675,4.1665,4.625,4.6965,4.552,4.4105
2008-04-30,4.4215,4.5205,4.809,4.3775,4.775,4.847,4.8035,4.577
2008-05-30,4.8805,4.995,4.9935,4.7465,4.97,5.0365,5.1185,4.835
2008-06-30,5.292,5.36,4.976,5.1425,5.13,5.094,5.375,5.0625
2008-07-31,4.9171,4.9763,4.811,4.851,4.925,4.918,5.0795,4.849
2008-08-29,4.7635,4.861,4.6715,4.6925,4.7585,4.7605,5.123,4.6815
2008-09-30,4.676,4.682,4.5685,4.6895,4.7485,4.7135,5.04,4.71
2008-10-31,3.801,3.6675,4.288,4.018,4.6365,4.5535,4.01,4.4835
2008-11-28,3.2335,3.145,3.6287,3.472,4.139,4.0347,3.304,3.9387
2008-12-31,2.955,2.6845,3.568,3.25,3.923,3.883,2.554,3.7395
2009-01-30,2.569,2.255,3.6975,3.0245,4.0115,3.9995,2.094,3.722
2009-02-27,2.389,2.077,3.4895,2.804,3.798,3.8505,1.8965,3.45
2009-03-31,2.14,1.808,3.651,2.658,3.766,3.859,1.618,3.373
2009-04-30,2.149,1.79,3.755,2.696,3.792,3.893,1.582,3.433
2009-05-29,2.146,1.711,3.983,2.832,4.046,4.137,1.444,3.698
2009-06-30,2.261,1.811,4.045,2.866,4.004,4.13,1.38,3.622
2009-07-31,2.174,1.7,3.936,2.752,3.899,4.034,1.211,3.499
2009-08-31,2.185,1.746,3.88,2.748,3.8155,3.951,1.2215,3.4475
2009-09-30,2.137,1.6993,3.9422,2.7115,3.8465,3.9955,1.1805,3.4685
2009-10-30,2.2245,1.791,3.9215,2.754,3.8575,3.9998,1.2415,3.486
2009-11-30,2.1215,1.7195,3.8025,2.667,3.809,3.928,1.258,3.4195
2009-12-31,2.225,1.875,3.944,2.809,3.963,4.062,1.311,3.595
2010-01-29,2.027,1.646,3.8125,2.5883,3.773,3.895,1.1995,3.39
2010-02-26,1.828,1.4493,3.716,2.447,3.721,3.829,1.0898,3.341
2010-03-31,1.797,1.443,3.688,2.3885,3.665,3.793,1.085,3.275
2010-04-30,1.74,1.4163,3.545,2.32,3.5675,3.6685,1.135,3.184
2010-05-31,1.594,1.3355,3.2,2.125,3.281,3.3505,1.1145,2.9348
2010-06-30,1.5825,1.355,3.212,2.071,3.252,3.3543,1.172,2.8863
2010-07-30,1.658,1.417,3.351,2.141,3.334,3.467,1.207,2.9465
2010-08-31,1.3715,1.229,2.5688,1.708,2.6025,2.695,1.1455,2.328
2010-09-30,1.631,1.467,2.833,1.967,2.88,2.976,1.28,2.578
2010-10-29,1.7799,1.59,2.952,2.1545,3.0925,3.1435,1.3928,2.7895
2010-11-30,1.7835,1.553,3.194,2.294,3.388,3.433,1.361,3.054
2010-12-31,1.898,1.5505,3.501,2.491,3.64,3.702,1.311,3.299
2011-01-31,2.3525,2.013,3.67,2.834,3.7688,3.8283,1.5825,3.455
2011-02-28,2.378,2.0965,3.644,2.82,3.7235,3.7933,1.6735,3.4196
2011-03-31,2.673,2.3525,3.879,3.096,3.944,4.024,1.883,3.645
2011-04-29,2.612,2.3345,3.789,3.026,3.8385,3.9155,1.9555,3.551
2011-05-31,2.372,2.1545,3.625,2.7745,3.671,3.7565,1.909,3.353
2011-06-30,2.389,2.1775,3.828,2.817,3.768,3.8805,1.973,3.426
2011-07-29,2.065,1.906,3.433,2.48,3.49,3.542,1.8635,3.149
2011-08-31,1.717,1.571,3.196,2.183,3.224,3.309,1.618,2.857
2011-09-30,1.594,1.502,2.718,1.966,2.805,2.83,1.593,2.537
2011-10-31,1.598,1.494,2.752,1.862,2.775,2.853,1.596,2.469
2011-11-30,1.591,1.439,2.86,2.039,3.022,3.029,1.495,2.73
2011-12-30,1.381,1.3125,2.5586,1.705,2.659,2.685,1.42,2.379
2012-01-31,1.183,1.128,2.467,1.534,2.551,2.59,1.242,2.24
2012-02-29,1.199,1.1075,2.517,1.55,2.5665,2.621,1.1455,2.261
2012-03-30,1.201,1.0795,2.568,1.5913,2.601,2.68,1.031,2.308
2012-04-30,1.04,0.928,2.5002,1.4203,2.535,2.6002,0.925,2.1902
2012-05-31,0.917,0.862,1.8612,1.1692,1.915,1.931,0.887,1.681
2012-06-29,0.9509,0.8555,2.2873,1.306,2.2827,2.3034,0.853,1.9831
2012-07-31,0.69,0.6117,2.207,1.02,2.124,2.181,0.605,1.7717
2012-08-31,0.5897,0.4989,2.1866,0.934,2.087,2.153,0.494,1.7126
2012-09-28,0.5706,0.457,2.327,0.947,2.166,2.2771,0.409,1.751
2012-10-31,0.5935,0.4736,2.3415,0.9545,2.1917,2.3101,0.401,1.7695
2012-11-30,0.5182,0.4096,2.2908,0.852,2.1062,2.2418,0.353,1.6652
2012-12-31,0.469,0.375,2.233,0.77,2.01,2.163,0.326,1.57
2013-01-31,0.8531,0.698,2.433,1.1875,2.277,2.3964,0.512,1.907
2013-02-28,0.571,0.444,2.3949,0.918,2.1908,2.344,0.355,1.748
2013-03-29,0.607,0.498,2.321,0.92,2.101,2.2535,0.408,1.673
2013-04-30,0.474,0.392,2.149,0.751,1.911,2.067,0.328,1.476
2013-05-31,0.5825,0.4385,2.3948,0.933,2.169,2.3298,0.33,1.7268
2013-06-28,0.7865,0.598,2.505,1.221,2.382,2.49,0.438,2.005
2013-07-31,0.717,0.553,2.4822,1.1623,2.365,2.4752,0.409,1.9582
2013-08-30,0.863,0.626,2.7135,1.365,2.599,2.7135,0.442,2.1905
2013-09-30,0.7455,0.55,2.612,1.218,2.474,2.596,0.415,2.061
2013-10-31,0.658,0.493,2.62,1.099,2.415,2.566,0.385,1.97
2013-11-29,0.5965,0.4305,2.61,1.054,2.429,2.578,0.353,1.968
2013-12-31,0.755,0.53,2.7309,1.2591,2.583,2.716,0.414,2.1551
2014-01-31,0.5826,0.436,2.5101,1.015,2.334,2.483,0.378,1.88
2014-02-28,0.606,0.461,2.485,0.9999,2.282,2.438,0.394,1.84
2014-03-31,0.6114,0.478,2.448,0.9718,2.228,2.391,0.412,1.7815
2014-04-30,0.57,0.448,2.367,0.9156,2.145,2.308,0.4108,1.707
2014-05-30,0.458,0.37,2.258,0.762,2.011,2.189,0.355,1.556
2014-06-30,0.3855,0.311,2.182,0.6542,1.896,2.088,0.289,1.44
2014-07-31,0.4059,0.336,2.073,0.648,1.8035,1.986,0.308,1.3745
2014-08-29,0.321,0.2655,1.76,0.5035,1.464,1.6415,0.247,1.0895
2014-09-30,0.247,0.1928,1.913,0.446,1.579,1.7905,0.175,1.139
2014-10-31,0.2689,0.218,1.81,0.437,1.476,1.681,0.193,1.0645
2014-11-28,0.257,0.208,1.624,0.3969,1.29,1.4882,0.182,0.908
2014-12-31,0.2204,0.182,1.467,0.3581,1.1527,1.325,0.164,0.819
2015-01-30,0.1912,0.152,1.176,0.301,0.927,1.068,0.14,0.67
2015-02-27,0.1349,0.098,1.2209,0.268,0.9559,1.1,0.095,0.6829
2015-03-31,0.121,0.0827,0.804,0.2445,0.721,0.781,0.08,0.556
2015-04-30,0.152,0.093,1.0159,0.2929,0.8609,0.9579,0.0695,0.654
2015-05-29,0.165,0.101,1.2876,0.35,1.1295,1.241,0.071,0.8525
2015-06-30,0.2228,0.125,1.69,0.5005,1.499,1.64,0.076,1.15
