Date,JYSO3 BGN Curncy,JYSO2 BGN Curncy,JYSO5 BGN Curncy,JYSO10 BGN Curncy,JYSO15 BGN Curncy,JYSO1 BGN Curncy,JYSO20 BGN Curncy,JYSO30 BGN Curncy
2004-05-31,,,,,,0.03,,
2004-06-30,,,,,,0.065,,
2004-07-30,,,,,,0.03,,
2004-08-31,,,,,,0.048,,
2004-09-30,,,,,,0.048,,
2004-10-29,,,,,,0.035,,
2004-11-30,,,,,,0.0275,,
2004-12-31,,,,,,0.0275,,
2005-01-31,,,,,,0.0275,,
2005-02-28,,,,,,0.0275,,
2005-03-31,,,,,,0.0275,,
2005-04-29,,,,,,0.0275,,
2005-05-31,,,,,,0.0275,,
2005-06-30,,,,,,0.019,,
2005-07-29,,,,,,0.032,,
2005-08-31,,,,,,0.0315,,
2005-09-30,,,,,,0.017,,
2005-10-31,,,,,,0.017,,
2005-11-30,,,,,,0.017,,
2005-12-30,,0.285,,,,0.096,,
2006-01-31,,0.203,,,,0.105,,
2006-02-28,,0.533,,,,0.215,,
2006-03-31,,0.7025,,,,0.329,,
2006-04-28,,0.72625,,,,0.359,,
2006-05-31,,0.8115,,,,0.48875,,
2006-06-30,,0.824,,,,0.515,,
2006-07-31,,0.816,,,,0.5265,,
2006-08-31,,0.59375,,,,0.40625,,
2006-09-29,,0.62475,,,,0.4475,,
2006-10-31,,0.71625,,,,0.51625,,
2006-11-30,,0.675,,,,0.552,,
2006-12-29,,0.685,,,,0.577,,
2007-01-31,,0.6,,,,0.5125,,
2007-02-28,,0.701,,,,0.6135,,
2007-03-30,,0.785,,,,0.6195,,
2007-04-30,,0.8475,,,,0.675,,
2007-05-31,,0.971,,,,0.77875,,
2007-06-29,,1.031,,,,0.829,,
2007-07-31,,1.0025,,,,0.823,,
2007-08-31,,0.7975,,,,0.706,,
2007-09-28,,0.84375,,,,0.688,,
2007-10-31,,0.7455,,,,0.654,,
2007-11-30,0.6875,0.6875,,,,0.6025,,
2007-12-31,0.64625,0.6175,,,,0.5375,,
2008-01-31,0.47,0.4675,,,,0.405,,
2008-02-29,0.475,0.4765,,,,0.426,,
2008-03-31,0.4625,0.4625,,,,0.4025,,
2008-04-30,0.82562,0.6785,,,,0.574,,
2008-05-30,0.83,0.83,,,,0.63,,
2008-06-30,0.77,0.77,,,,0.604,,
2008-07-31,0.83813,0.694,,,,0.5575,,
2008-08-29,0.74563,0.615,,,,0.523,,
2008-09-30,0.77063,0.611,,,,0.488,,
2008-10-31,0.48563,0.39,,,,0.272,,
2008-11-28,0.505,0.3695,,,,0.2775,,
2008-12-31,0.22313,0.13,,,,0.07938,,
2009-01-30,0.32,0.2225,,,,0.1225,,
2009-02-27,,0.185,,,,0.1105,,
2009-03-31,0.34,0.195,,,,0.1175,,
2009-04-30,0.34,0.19063,,,,0.10813,,
2009-05-29,0.3425,0.215,,,,0.1225,,
2009-06-30,0.285,0.195,,,,0.12125,,
2009-07-31,0.2975,0.2025,,,,0.12375,,
2009-08-31,0.2925,0.19188,0.55,1.1625,1.52,0.118,1.73,1.87
2009-09-30,0.31938,0.20188,0.53,1.1325,1.5,0.12438,1.715,1.8525
2009-10-30,0.315,0.2125,0.54,1.1975,1.585,0.136,1.795,1.91
2009-11-30,0.275,0.1825,0.4625,1.0525,1.4175,0.12938,1.605,1.705
2009-12-31,0.215,0.1375,0.3975,1.08,1.5225,0.09,1.7225,1.805
2010-01-29,0.2065,0.1455,0.4025,1.0525,1.475,0.103,1.685,1.8125
2010-02-26,0.215,0.13875,0.3855,1.06375,1.51125,0.1015,1.74625,1.8725
