Date,NKSW1 BGN Curncy,NKSW10 BGN Curncy,NKSW20 BGN Curncy,NKSW5 BGN Curncy,NKSW15 BGN Curncy,NKSW3 BGN Curncy,NKSW2 BGN Curncy,NKSW30 BGN Curncy
2004-05-31,2.3575,5.09,5.47,4.365,5.345,3.615,3.055,
2004-06-30,2.3625,4.935,5.295,4.255,5.175,3.59,3.07,
2004-07-30,2.2925,4.75,5.11,4.09,4.995,3.4,2.9,
2004-08-31,2.19,4.5813,4.975,3.855,4.8225,3.2063,2.725,
2004-09-30,2.1425,4.565,4.922,3.855,4.77,3.19,2.715,
2004-10-29,2.17,4.44,4.769,3.685,4.685,3.025,2.6,
2004-11-30,2.14,4.245,4.612,3.485,4.5,2.875,2.505,
2004-12-31,2.265,4.325,4.72,3.625,4.565,3.085,2.705,
2005-01-31,2.1975,4.085,4.445,3.445,4.315,2.955,2.635,
2005-02-28,2.315,4.2175,4.52,3.6575,4.435,3.175,2.81,4.61
2005-03-31,2.5,4.33,4.66,3.785,4.56,3.285,2.945,4.74
2005-04-29,2.5025,4.145,4.515,3.64,4.365,3.215,2.905,4.53
2005-05-31,2.565,4.035,4.3175,3.535,4.2275,3.165,2.885,4.3875
2005-06-30,2.4638,3.925,4.225,3.355,4.14,2.935,2.7025,4.29
2005-07-29,2.62,4.0025,4.305,3.5025,4.22,3.1325,2.9225,4.37
2005-08-31,2.7125,3.925,4.205,3.505,4.125,3.235,3.02,4.255
2005-09-30,2.8,3.995,4.27,3.625,4.19,3.35,3.125,4.32
2005-10-31,2.9875,4.305,4.52,4.02,4.45,3.735,3.4375,4.58
2005-11-30,3.1025,4.37,4.5325,4.0875,4.4925,3.7975,3.535,4.595
2005-12-30,3.08,4.12,4.28,3.91,4.22,3.68,3.45,4.32
2006-01-31,2.96,4.15,4.33,3.865,4.275,3.62,3.375,4.37
2006-02-28,3.02,4.075,4.22,3.805,4.175,3.555,3.34,4.26
2006-03-31,3.205,4.405,4.53,4.185,4.49,3.945,3.685,4.56
2006-04-28,3.3025,4.615,4.74,4.285,4.7,4.0,3.745,4.745
2006-05-31,3.52,4.675,4.83,4.41,4.795,4.18,3.9375,4.835
2006-06-30,3.5725,4.8,4.94,4.56,4.905,4.315,4.045,4.945
2006-07-31,3.7,4.765,4.895,4.5475,4.86,4.35,4.125,4.9
2006-08-31,3.8,4.61,4.73,4.425,4.695,4.285,4.125,4.7075
2006-09-29,3.9125,4.52,4.61,4.38,4.58,4.3,4.19,4.615
2006-10-31,4.05,4.635,4.7125,4.555,4.69,4.46,4.35,4.68
2006-11-30,4.295,4.6275,4.615,4.6275,4.615,4.6175,4.5625,4.59
2006-12-29,4.575,4.99,4.965,5.02,4.975,5.02,4.92,4.94
2007-01-31,4.825,5.2,5.155,5.2325,5.17,5.2275,5.165,5.115
2007-02-28,4.885,5.0502,4.965,5.085,4.995,5.1047,5.095,4.895
2007-03-30,5.0313,5.18,5.115,5.175,5.155,5.1846,5.1946,5.03
2007-04-30,5.15,5.325,5.28,5.3317,5.315,5.3325,5.32,5.18
2007-05-31,5.335,5.5775,5.465,5.6,5.525,5.615,5.5999,5.395
2007-06-29,5.555,5.745,5.6225,5.7797,5.6875,5.8,5.78,5.5375
2007-07-31,5.5925,5.6822,5.565,5.7056,5.63,5.7334,5.7355,5.485
2007-08-31,5.659,5.6055,5.525,5.5998,5.57,5.6299,5.6697,5.43
2007-09-28,5.77,5.655,5.615,5.575,5.635,5.595,5.655,5.525
2007-10-31,5.7955,5.5553,5.555,5.5351,5.575,5.6101,5.6996,5.44
2007-11-30,5.87,5.545,5.4975,5.455,5.5375,5.535,5.665,5.4275
2007-12-31,5.916,5.525,5.53,5.455,5.545,5.545,5.745,5.425
2008-01-31,5.645,5.26,5.2675,5.13,5.2975,5.21,5.415,5.1925
2008-02-29,5.899,5.185,5.2275,5.165,5.2625,5.325,5.585,5.1525
2008-03-31,6.155,5.235,5.245,5.32,5.255,5.58,5.89,5.165
2008-04-30,6.345,5.505,5.5,5.53,5.51,5.675,6.025,5.425
2008-05-30,6.605,5.665,5.635,5.8348,5.64,6.155,6.465,5.515
2008-06-30,6.8425,5.9545,5.8125,6.2781,5.855,6.5933,6.849,5.7575
2008-07-31,6.695,5.8224,5.69,6.0325,5.7325,6.3026,6.5975,5.6675
2008-08-29,6.743,5.585,5.4675,5.7745,5.5275,6.055,6.426,5.4175
2008-09-30,6.86,5.373,5.255,5.543,5.32,5.893,6.31,5.14
2008-10-31,4.879,4.8225,4.71,4.5925,4.745,4.4825,4.6025,4.59
2008-11-28,4.22,4.4463,4.42,3.99,4.58,3.7343,3.8155,4.31
