Date,SKSW20 BGN Curncy,SKSW15 BGN Curncy,SKSW1 BGN Curncy,SKSW30 BGN Curncy,SKSW3 BGN Curncy,SKSW2 BGN Curncy,SKSW10 BGN Curncy,SKSW5 BGN Curncy
2004-05-31,5.355,5.255,2.5625,5.435,3.6575,3.175,5.025,4.315
2004-06-30,5.34,5.22,2.63,5.4,3.73,3.26,5.02,4.365
2004-07-30,5.255,5.135,2.5925,5.305,3.63,3.16,4.905,4.25
2004-08-31,5.11,4.985,2.615,5.195,3.5625,3.12,4.745,4.125
2004-09-30,4.99,4.8625,2.68,5.03,3.5275,3.1575,4.6425,4.0475
2004-10-29,4.95,4.81,2.5625,5.025,3.345,3.0,4.57,3.9125
2004-11-30,4.74,4.59,2.445,4.81,3.1,2.78,4.355,3.6725
2004-12-31,4.58,4.44,2.355,4.635,3.025,2.71,4.205,3.565
2005-01-31,4.315,4.1825,2.2525,4.395,2.885,2.565,3.945,3.325
2005-02-28,4.345,4.252,2.2425,4.425,2.92,2.59,4.04,3.43
2005-03-31,4.255,4.16,2.245,4.325,2.93,2.59,3.965,3.405
2005-04-29,3.895,3.8225,2.1125,3.94,2.63,2.34,3.645,3.075
2005-05-31,3.79,3.726,2.02,3.82,2.485,2.2213,3.496,2.905
2005-06-30,3.535,3.468,1.7285,3.575,2.1595,1.9065,3.2295,2.6025
2005-07-29,3.625,3.525,1.8025,3.665,2.355,2.105,3.305,2.76
2005-08-31,3.5413,3.443,1.929,3.63,2.457,2.215,3.258,2.775
2005-09-30,3.54,3.4823,2.032,3.615,2.605,2.37,3.299,2.91
2005-10-31,3.84,3.759,2.0975,3.91,2.777,2.484,3.554,3.1193
2005-11-30,3.8175,3.7705,2.288,3.83,2.968,2.692,3.6405,3.26
2005-12-30,3.65,3.623,2.478,3.655,3.135,2.87,3.548,3.379
2006-01-31,3.8225,3.7975,2.57,3.83,3.215,2.965,3.725,3.485
2006-02-28,3.7,3.721,2.484,3.6725,3.1,2.839,3.651,3.383
2006-03-31,4.03,4.045,2.72,4.015,3.41,3.135,3.9775,3.7025
2006-04-28,4.31,4.301,2.7875,4.265,3.5275,3.2295,4.1893,3.862
2006-05-31,4.3465,4.3313,2.9151,4.3365,3.595,3.315,4.2145,3.883
2006-06-30,4.49,4.47,3.1165,4.49,3.822,3.5613,4.379,4.1055
2006-07-31,4.3,4.3015,3.1375,4.285,3.729,3.5058,4.219,3.9788
2006-08-31,4.18,4.17,3.3525,4.145,3.7525,3.6075,4.11,3.9075
2006-09-29,4.015,4.0588,3.438,3.98,3.765,3.6655,4.034,3.887
2006-10-31,4.045,4.071,3.525,3.955,3.824,3.715,4.0655,3.9475
2006-11-30,3.93,3.993,3.608,3.83,3.838,3.7715,3.994,3.925
2006-12-29,4.15,4.215,3.785,4.06,4.07,3.99,4.24,4.165
2007-01-31,4.4,4.4438,3.9203,4.3375,4.2525,4.149,4.4525,4.3665
2007-02-28,4.2066,4.24,3.7591,4.11,4.0425,3.93,4.263,4.17
2007-03-30,4.3605,4.388,3.8559,4.2705,4.19,4.08,4.385,4.3075
2007-04-30,4.4975,4.5375,4.025,4.4075,4.385,4.265,4.5425,4.4825
