Date,USSW10 BGN Curncy,USSW1 BGN Curncy,USSW5 BGN Curncy,USSW30 BGN Curncy,USSW15 BGN Curncy,USSW3 BGN Curncy,USSW2 BGN Curncy,USSW20 BGN Curncy
2009-09-30,3.4593,0.6085,2.6485,3.9375,3.7678,1.8745,1.2865,3.8687
2009-10-30,3.5625,0.587,2.6588,4.142,3.9235,1.841,1.2439,4.046
2009-11-30,3.2963,0.463,2.3176,4.024,3.7438,1.528,0.9957,3.9159
2009-12-31,4.008,0.673,2.9924,4.569,4.402,2.828,1.4124,4.5115
2010-01-29,3.709,0.487,2.6308,4.3805,4.141,1.7125,1.0987,4.2863
2010-02-26,3.7015,0.468,2.598,4.4188,4.1547,1.668,1.061,4.313
2010-03-31,3.82,0.556,2.7325,4.518,4.259,1.804,1.1923,4.4125
2010-04-30,3.659,0.6585,2.6095,4.287,4.053,1.7365,1.1978,4.1925
2010-05-31,3.385,0.8615,2.425,4.03,3.768,1.657,1.232,3.92
2010-06-30,3.0009,0.723,2.0465,3.6933,3.4141,1.331,0.971,3.5785
2010-07-30,2.894,0.486,1.777,3.7113,3.371,1.0705,0.733,3.5575
2010-08-31,2.483,0.429,1.5608,3.1415,2.869,0.9475,0.652,3.0295
2010-09-30,2.574,0.403,1.5163,3.3467,3.0215,0.8715,0.603,3.211
2010-10-29,2.683,0.367,1.4168,3.6351,3.2215,0.728,0.4995,3.454
2010-11-30,2.961,0.5625,1.7464,3.8198,3.4575,1.025,0.7608,3.6657
2010-12-31,3.3795,0.4492,2.173,4.104,3.8365,1.27,0.7921,3.9988
2011-01-31,3.4716,0.4425,2.1819,4.308,3.9771,1.2584,0.7912,4.1662
2011-02-28,3.5408,0.418,2.3513,4.286,3.995,1.424,0.8812,4.165
2011-03-31,3.574,0.4745,2.4654,4.2871,4.0134,1.57,1.005,4.1767
2011-04-29,3.366,0.385,2.147,4.163,3.855,1.2608,0.78,4.0293
2011-05-31,3.1615,0.362,1.934,3.9795,3.6497,1.082,0.6595,3.838
