Date,SKSW20 BGN Curncy,SKSW15 BGN Curncy,SKSW1 BGN Curncy,SKSW30 BGN Curncy,SKSW3 BGN Curncy,SKSW2 BGN Curncy,SKSW10 BGN Curncy,SKSW5 BGN Curncy,USSW10 BGN Curncy,USSW1 BGN Curncy,USSW5 BGN Curncy,USSW30 BGN Curncy,USSW15 BGN Curncy,USSW3 BGN Curncy,USSW2 BGN Curncy,USSW20 BGN Curncy,ADSW3 BGN Curncy,ADSW2 BGN Curncy,ADSW10 BGN Curncy,ADSW5 BGN Curncy,ADSW20 BGN Curncy,ADSW1 BGN Curncy,ADSW15 BGN Curncy,ADSW30 BGN Curncy,NKSW1 BGN Curncy,NKSW10 BGN Curncy,NKSW20 BGN Curncy,NKSW5 BGN Curncy,NKSW15 BGN Curncy,NKSW3 BGN Curncy,NKSW2 BGN Curncy,NKSW30 BGN Curncy,DKSW10 BGN Curncy,DKSW1 BGN Curncy,DKSW30 BGN Curncy,DKSW2 BGN Curncy,DKSW3 BGN Curncy,DKSW20 BGN Curncy,DKSW15 BGN Curncy,DKSW5 BGN Curncy,CDSW30 BGN Curncy,CDSW5 BGN Curncy,CDSW2 BGN Curncy,CDSW3 BGN Curncy,CDSW20 BGN Curncy,CDSW15 BGN Curncy,CDSW10 BGN Curncy,CDSW1 BGN Curncy,JYSO3 BGN Curncy,JYSO2 BGN Curncy,JYSO5 BGN Curncy,JYSO10 BGN Curncy,JYSO15 BGN Curncy,JYSO1 BGN Curncy,JYSO20 BGN Curncy,JYSO30 BGN Curncy,EUSA3 BGN Curncy,EUSA2 BGN Curncy,EUSA30 BGN Curncy,EUSA5 BGN Curncy,EUSA15 BGN Curncy,EUSA20 BGN Curncy,EUSA1 BGN Curncy,EUSA10 BGN Curncy
2004-05-31,5.355,5.255,2.5625,5.435,3.6575,3.175,5.025,4.315,,,,,,,,,5.85,5.74,6.2815,6.025,6.33,5.62,6.3415,6.2825,2.3575,5.09,5.47,4.365,5.345,3.615,3.055,,4.71,2.5,5.355,2.975,3.37,5.24,5.06,3.9475,5.73,4.32,3.17,3.66,5.69,5.506,5.12,2.55,,,,,,0.03,,,3.1955,2.829,5.117,3.751,4.818,5.0055,2.3805,4.4855
2004-06-30,5.34,5.22,2.63,5.4,3.73,3.26,5.02,4.365,,,,,,,,,5.845,5.745,6.183,5.985,6.2175,5.625,6.243,6.1825,2.3625,4.935,5.295,4.255,5.175,3.59,3.07,,4.635,2.54,5.195,3.005,3.3825,5.105,4.945,3.9225,5.805,4.48,3.3775,3.87,5.7275,5.5625,5.2175,2.725,,,,,,0.065,,,3.223,2.871,4.991,3.733,4.729,4.895,2.422,4.423
2004-07-30,5.255,5.135,2.5925,5.305,3.63,3.16,4.905,4.25,,,,,,,,,5.94,5.82,6.188,6.035,6.2075,5.685,6.243,6.1875,2.2925,4.75,5.11,4.09,4.995,3.4,2.9,,4.53,2.4975,5.11,2.925,3.28,5.025,4.865,3.8125,5.746,4.425,3.356,3.811,5.658,5.477,5.156,2.72,,,,,,0.03,,,3.1415,2.8045,4.8975,3.6375,4.6335,4.7975,2.392,4.3255
2004-08-31,5.11,4.985,2.615,5.195,3.5625,3.12,4.745,4.125,,,,,,,,,5.76,5.65,5.935,5.798,5.9375,5.56,5.979,5.9025,2.19,4.5813,4.975,3.855,4.8225,3.2063,2.725,,4.34,2.41,4.985,2.74,3.065,4.875,4.695,3.585,5.54,4.15,3.1275,3.54,5.4275,5.2495,4.9125,2.725,,,,,,0.048,,,2.935,2.624,4.759,3.41,4.471,4.648,2.291,4.142
2004-09-30,4.99,4.8625,2.68,5.03,3.5275,3.1575,4.6425,4.0475,,,,,,,,,5.67,5.595,5.918,5.78,5.9175,5.52,5.953,5.8775,2.1425,4.565,4.922,3.855,4.77,3.19,2.715,,4.2975,2.5025,4.9225,2.8225,3.105,4.8075,4.6375,3.5825,5.5575,4.2425,3.345,3.6925,5.4525,5.27,4.94,2.96,,,,,,0.048,,,2.985,2.7075,4.7225,3.423,4.4205,4.6035,2.393,4.106
2004-10-29,4.95,4.81,2.5625,5.025,3.345,3.0,4.57,3.9125,,,,,,,,,5.6,5.57,5.81,5.683,5.7775,5.51,5.848,5.7375,2.17,4.44,4.769,3.685,4.685,3.025,2.6,,4.1575,2.425,4.8375,2.685,2.96,4.7125,4.5225,3.4275,5.416,4.1225,3.341,3.676,5.341,5.1475,4.804,3.01,,,,,,0.035,,,2.834,2.5765,4.6378,3.2825,4.3225,4.511,2.329,3.984
2004-11-30,4.74,4.59,2.445,4.81,3.1,2.78,4.355,3.6725,,,,,,,,,5.38,5.355,5.66,5.48,5.673,5.346,5.6935,5.79,2.14,4.245,4.612,3.485,4.5,2.875,2.505,,3.9975,2.395,4.6475,2.61,2.85,4.5275,4.3375,3.2825,5.425,3.945,3.0875,3.415,5.349,5.146,4.7655,2.785,,,,,,0.0275,,,2.7675,2.521,4.4905,3.169,4.187,4.3675,2.3088,3.8615
2004-12-31,4.58,4.44,2.355,4.635,3.025,2.71,4.205,3.565,,,,,,,,,5.605,5.515,5.825,5.7,5.815,5.455,5.86,5.79,2.265,4.325,4.72,3.625,4.565,3.085,2.705,,3.895,2.4575,4.545,2.7125,2.93,4.425,4.245,3.28,5.266,3.905,3.15,3.445,5.211,5.019,4.631,2.76,,,,,,0.0275,,,2.826,2.617,4.359,3.158,4.055,4.237,2.373,3.754
2005-01-31,4.315,4.1825,2.2525,4.395,2.885,2.565,3.945,3.325,,,,,,,,,5.725,5.7,5.8425,5.765,5.855,5.65,5.869,5.835,2.1975,4.085,4.445,3.445,4.315,2.955,2.635,,3.7125,2.3775,4.2625,2.61,2.82,4.1575,4.0025,3.1525,5.14,3.8,3.0575,3.3475,5.0775,4.895,4.525,2.77,,,,,,0.0275,,,2.7505,2.5525,4.131,3.064,3.889,4.046,2.3153,3.6185
2005-02-28,4.345,4.252,2.2425,4.425,2.92,2.59,4.04,3.43,,,,,,,,,6.0665,5.9975,6.11,6.025,6.1125,5.9635,6.13,6.1025,2.315,4.2175,4.52,3.6575,4.435,3.175,2.81,4.61,3.86,2.4075,4.3625,2.7025,2.935,4.27,4.1325,3.29,5.1865,3.86,3.1345,3.3915,5.141,4.961,4.585,2.87,,,,,,0.0275,,,2.8903,2.6578,4.291,3.2455,4.068,4.202,2.3713,3.8057
2005-03-31,4.255,4.16,2.245,4.325,2.93,2.59,3.965,3.405,,,,,,,,,6.08,6.06,6.075,6.03,6.0875,6.04,6.1075,6.0675,2.5,4.33,4.66,3.785,4.56,3.285,2.945,4.74,3.805,2.3875,4.3375,2.6675,2.885,4.24,4.0975,3.215,5.1449,4.01,3.38,3.6225,5.1037,4.9486,4.6185,3.09,,,,,,0.0275,,,2.8356,2.6305,4.222,3.1472,3.989,4.1275,2.3708,3.713
2005-04-29,3.895,3.8225,2.1125,3.94,2.63,2.34,3.645,3.075,,,,,,,,,5.72,5.7,5.8725,5.8,5.8775,5.73,5.904,5.8375,2.5025,4.145,4.515,3.64,4.365,3.215,2.905,4.53,3.58,2.2575,4.165,2.4325,2.625,4.05,3.885,2.9625,5.0475,3.805,3.195,3.43,4.9594,4.7975,4.4625,2.895,,,,,,0.0275,,,2.589,2.397,4.099,2.922,3.831,3.988,2.219,3.528
2005-05-31,3.79,3.726,2.02,3.82,2.485,2.2213,3.496,2.905,,,,,,,,,5.63,5.63,5.6225,5.56375,5.6175,5.67,5.6425,5.5875,2.565,4.035,4.3175,3.535,4.2275,3.165,2.885,4.3875,3.4175,2.205,4.0025,2.325,2.5015,3.8975,3.7275,2.8225,4.821,3.5845,3.04,3.24,4.719,4.543,4.2225,2.825,,,,,,0.0275,,,2.46,2.295,3.99,2.775,3.7,3.875,2.1588,3.3815
2005-06-30,3.535,3.468,1.7285,3.575,2.1595,1.9065,3.2295,2.6025,,,,,,,,,5.57,5.57,5.55,5.528,5.55,5.63,5.5225,5.515,2.4638,3.925,4.225,3.355,4.14,2.935,2.7025,4.29,3.2313,2.0975,3.8075,2.18,2.34,3.7075,3.5475,2.6425,4.652,3.4,2.954,3.105,4.545,4.353,4.023,2.83,,,,,,0.019,,,2.3201,2.162,3.8101,2.6251,3.533,3.7051,2.0845,3.2201
2005-07-29,3.625,3.525,1.8025,3.665,2.355,2.105,3.305,2.76,,,,,,,,,5.57,5.57,5.6715,5.63,5.6675,5.575,5.6965,5.6175,2.62,4.0025,4.305,3.5025,4.22,3.1325,2.9225,4.37,3.38,2.2425,3.94,2.415,2.565,3.8375,3.68,2.835,4.72,3.62,3.22,3.35,4.647,4.48,4.15,3.0705,,,,,,0.032,,,2.556,2.4046,3.885,2.8075,3.636,3.789,2.243,3.3465
2005-08-31,3.5413,3.443,1.929,3.63,2.457,2.215,3.258,2.775,,,,,,,,,5.47,5.46,5.433,5.405,5.4325,5.48,5.448,5.3575,2.7125,3.925,4.205,3.505,4.125,3.235,3.02,4.255,3.232,2.264,3.779,2.383,2.506,3.676,3.524,2.732,4.5565,3.5,3.16,3.26,4.4805,4.2995,3.9935,3.025,,,,,,0.0315,,,2.471,2.342,3.717,2.6935,3.481,3.6275,2.2223,3.1985
2005-09-30,3.54,3.4823,2.032,3.615,2.605,2.37,3.299,2.91,,,,,,,,,5.79,5.765,5.86,5.82,5.835,5.725,5.875,5.715,2.8,3.995,4.27,3.625,4.19,3.35,3.125,4.32,3.2875,2.3825,3.8375,2.5575,2.68,3.7375,3.5825,2.8725,4.65,3.795,3.51,3.61,4.619,4.46,4.18,3.41,,,,,,0.017,,,2.65,2.525,3.739,2.8405,3.525,3.662,2.3496,3.265
